Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,2340000000000.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.00997202935374215,0.94,0.94,0.3,0.2,1.0,0.0,1683.0,1235.0,
0,0.1330,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
1,0.2450,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
2,0.3560,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
3,0.4660,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
4,0.5770,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
5,0.6860,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
6,0.7950,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
7,0.9040,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
8,1.0150,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
9,1.1240,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
10,1.2330,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
11,1.3420,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
12,1.4520,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
13,1.5610,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
14,1.6700,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
15,1.7790,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
16,1.8890,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
17,1.9980,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
18,2.1070,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
19,2.2180,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
20,2.3290,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
21,2.4380,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
22,2.5480,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
23,2.6580,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
24,2.7670,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
25,2.8790,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
26,2.9890,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
27,3.0980,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
28,3.2080,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
29,3.3180,2340000104448.0,1.0,0.0,1500.0,1100.0,181000.0,100000.0,10000.0,0.0,0.009972029365599155,0.9399999976158142,0.9399999976158142,0.30000001192092896,0.20000000298023224,1.0,0.0,1683.0,1235.0,
